,,,,,
Zip Code,Number of Returns,Income Per Return($),,,
31561,241,351178,,,
30327,11481,235375,,,
30023,92,181815,,,
31411,3416,165293,,,
30355,592,163738,,,
30302,836,157707,,,
30305,14265,139675,,,
30007,175,138183,,,
30301,932,132884,,,
30722,969,128282,,,
30202,2994,127684,,,
30346,343,126580,,,
31902,697,122326,,,
30097,10318,115569,,,
30155,539,114544,,,
30348,69,110420,,,
30336,308,107763,,,
30201,1610,105094,,,
30022,19788,104745,,,
30328,15342,98751,,,
30005,9481,98276,,,
31420,315,98003,,,
30246,178,97478,,,
31107,113,91965,,,
30174,1187,91516,,,
30309,10405,89650,,,
30326,1688,89476,,,
31297,47,88851,,,
30342,13517,87179,,,
30338,15484,86808,,,
30068,15861,86136,,,
30703,1059,86134,,,
30239,27,86000,,,
30350,16664,83930,,,
30603,447,79416,,,
30319,17884,78946,,,
30075,21656,78323,,,
30361,50,78080,,,
30136,2195,77490,,,
31604,475,77366,,,
30221,415,76973,,,
30004,15174,76264,,,
30262,67,75299,,,
30024,12607,74835,,,
30131,891,74144,,,
31119,238,72819,,,
31917,327,71911,,,
30243,6764,71203,,,
30076,18153,70777,,,
30356,251,70606,,,
31209,178,69444,,,
30130,1412,69439,,,
30269,14032,69179,,,
30009,257,68911,,,
30085,384,68826,,,
30306,12266,68550,,,
31908,520,68327,,,
31412,697,68161,,,
30325,228,67136,,,
31106,112,66991,,,
30247,10441,66643,,,
30279,287,66627,,,
31210,12846,66257,,,
30092,14752,66102,,,
31820,2024,66059,,,
30278,5166,65691,,,
31522,7168,65595,,,
30041,11323,64891,,,
30208,1880,64582,,,
30320,135,64437,,,
30189,12225,64089,,,
30750,1351,63805,,,
30073,1907,63629,,,
30345,9719,63523,,,
31402,731,62440,,,
30067,22549,62234,,,
30062,28755,62133,,,
30064,18425,61840,,,
30358,363,61556,,,
30087,14338,60960,,,
30077,388,60649,,,
30215,9743,60559,,,
30515,480,60225,,,
30211,646,60094,,,
30809,9701,59802,,,
30152,10073,59176,,,
30914,420,59162,,,
30307,8251,58622,,,
31708,421,58328,,,
30244,7256,58064,,,
30720,9627,57961,,,
30017,3616,57950,,,
31150,163,57853,,,
30503,1075,57826,,,
31702,472,56858,,,
30357,414,56575,,,
30249,1255,56320,,,
30517,1883,55482,,,
30066,23533,55404,,,
30101,14415,55279,,,
30324,10983,55058,,,
30245,3823,55042,,,
30019,6158,54671,,,
30506,12425,54664,,,
30059,1129,54542,,,
30290,2433,54464,,,
30095,239,54356,,,
31410,9718,54329,,,
30650,4318,54249,,,
30040,14533,53859,,,
30519,6401,53852,,,
30128,248,53589,,,
30214,11485,53515,,,
30203,442,53446,,,
30205,1152,53343,,,
30642,3729,52074,,,
30308,5950,51843,,,
31146,155,51839,,,
30265,6924,51790,,,
30277,6045,51730,,,
30333,142,51711,,,
30209,1385,51314,,,
31829,368,51293,,,
30188,15681,51214,,,
31603,775,51129,,,
30144,17316,50943,,,
30001,1132,50194,,,
31904,12465,50077,,,
30162,661,50076,,,
31220,4342,50035,,,
30043,16328,49771,,,
30267,321,49769,,,
30377,149,49691,,,
31527,513,49676,,,
30033,14440,49610,,,
31139,346,49538,,,
30400,22,49500,,,
30252,6416,49476,,,
31208,805,49217,,,
31062,32,49125,,,
31808,2262,49101,,,
30096,21571,49015,,,
30143,6545,48962,,,
30207,1188,48528,,,
30606,14008,48483,,,
30502,189,48466,,,
30057,665,48409,,,
30157,883,48163,,,
30907,20899,48134,,,
30542,8383,48070,,,
30255,354,47794,,,
31799,1311,47681,,,
30049,1048,47460,,,
31086,110,47409,,,
30115,7256,47276,,,
30094,10018,47267,,,
30380,10,47200,,,
30360,6183,46970,,,
30127,16711,46832,,,
30253,10816,46483,,,
31406,14937,46302,,,
30303,1746,46164,,,
30013,7605,46017,,,
30677,6045,45893,,,
30046,330,45842,,,
30909,15859,45740,,,
31416,740,45664,,,
30078,8652,45610,,,
30414,111,45595,,,
31534,1337,45341,,,
30518,11563,45297,,,
31202,418,45129,,,
31707,18778,44938,,,
30082,10462,44933,,,
30620,2090,44879,,,
31324,5806,44751,,,
30622,3167,44680,,,
31047,2146,44672,,,
30903,761,44637,,,
30122,6820,44570,,,
31005,4125,44477,,,
30102,13955,44222,,,
30213,6405,44164,,,
30002,2877,44140,,,
30052,11817,44124,,,
30287,115,44113,,,
30459,1061,43971,,,
30133,613,43884,,,
30604,787,43868,,,
30135,18032,43808,,,
31039,35,43629,,,
31141,161,43516,,,
30084,15589,43475,,,
31811,1453,43246,,,
30250,151,43192,,,
31126,92,43152,,,
30030,12299,43148,,,
30100,24,43042,,,
31004,248,42984,,,
30042,252,42952,,,